AS_ID	Gene_ID	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
KCNAB2_SE_101399	KCNAB2	chr1	+	6041830	6041872	6040516	6040645	6072754	6072798	0.490471264367816	0.351315789473684	2.69514140842912e-08	-0.481400196348446	-0.139155474894132
PLAC8_SE_102734	PLAC8	chr4	-	83107803	83107950	83104895	83105020	83114665	83114758	0.786942528735632	0.893789473684211	7.15641203135736e-08	0.183676775959768	0.106846944948578
PLAC8_SE_102736	PLAC8	chr4	-	83107803	83107950	83094153	83094791	83114665	83114758	0.776701149425287	0.929	1.50847725601287e-07	0.258318995630163	0.152298850574713
PLAC8_SE_102740	PLAC8	chr4	-	83104895	83105020	83094153	83094791	83114665	83114758	0.766287356321839	0.905578947368421	1.028685799402e-07	0.240954917662582	0.139291591046582
SIN3B_SE_116473	SIN3B	chr19	+	16862883	16862979	16862351	16862559	16863679	16863796	0.593977011494253	0.360578947368421	2.62888214154702e-07	-0.720091929373409	-0.233398064125832
FCGR1B_SE_124808	FCGR1B	chr1	+	121094673	121094958	121092995	121093250	121095871	121097161	0.208080459770115	0.346052631578947	2.46046298733901e-07	0.733849983703676	0.137972171808832
MTIF3_SE_12781	MTIF3	chr13	-	27441016	27441077	27439988	27440449	27445087	27445156	0.411632183908046	0.201210526315789	1.47722549158367e-07	-1.03265000369945	-0.210421657592256
FAM111A_SE_128421	FAM111A	chr11	+	59145826	59145856	59143082	59143304	59148835	59148953	0.873298850574713	0.760736842105263	4.83154628483792e-09	-0.199077965584165	-0.11256200846945
TRIM33_SE_133230	TRIM33	chr1	-	114397939	114397990	114392776	114397860	114399456	114399609	0.726298850574713	0.612526315789474	1.93355202883479e-08	-0.245791469347967	-0.113772534785239
SYNRG_SE_135269	SYNRG	chr17	-	37577379	37577613	37576340	37576418	37584647	37584759	0.590080459770115	0.780631578947368	3.01706128449438e-09	0.403730140429233	0.190551119177254
HACL1_SE_142339	HACL1	chr3	-	15574976	15575082	15573158	15573242	15579909	15580045	0.827310344827586	0.932263157894737	2.57213554737486e-07	0.172308632269559	0.104952813067151
CSF2RB_SE_142581	CSF2RB	chr22	+	36936548	36936652	36935629	36935687	36937376	36940437	0.610448275862069	0.850789473684211	1.76731579933617e-07	0.478933124976592	0.240341197822142
MARK3_SE_145883	MARK3	chr14	+	103491776	103492034	103480386	103480490	103502881	103503829	0.755172413793103	0.894315789473684	9.84119717096222e-08	0.243978283112242	0.139143375680581
MDM4_SE_159684	MDM4	chr1	+	204537429	204537497	204532190	204532246	204538208	204538308	0.593885057471264	0.460684210526316	1.44453317971303e-08	-0.366405582038374	-0.133200846944949
FLAD1_SE_160525	FLAD1	chr1	+	154983841	154984066	154983293	154983397	154988104	154988849	0.782344827586207	0.91078947368421	7.32548891880333e-08	0.21931298549728	0.128444646098004
ADIPOR1_SE_166304	ADIPOR1	chr1	-	202954240	202954307	202950929	202951164	202958184	202958396	0.476885057471264	0.112894736842105	5.92138086672258e-08	-2.07866334943317	-0.363990320629159
RNF34_SE_168037	RNF34	chr12	+	121402741	121402807	121400117	121400218	121416158	121416377	0.679011494252874	0.308315789473684	1.0438590518977e-07	-1.13902722184321	-0.370695704779189
LST1_SE_174679	LST1	chr6	+	31587943	31587966	31587640	31587733	31588517	31588909	0.843896551724138	0.739526315789474	9.32073072055586e-10	-0.190464672293665	-0.104370235934664
PRMT2_SE_176965	PRMT2	chr21	+	46661799	46661936	46649574	46649739	46663382	46663554	0.402885057471264	0.620368421052632	1.5457952271619e-07	0.622756951330002	0.217483363581367
MRPL22_SE_178276	MRPL22	chr5	+	154950820	154950938	154941216	154941265	154956370	154956436	0.696195402298851	0.831842105263158	8.20837692318085e-08	0.256817425093901	0.135646702964307
PROK2_SE_185104	PROK2	chr3	-	71774444	71774507	71771654	71772828	71781466	71781592	0.78616091954023	0.483105263157895	1.22652497903851e-08	-0.702487078239134	-0.303055656382335
FBXL4_SE_195122	FBXL4	chr6	-	98917373	98917719	98905425	98905670	98926476	98927060	0.436494252873563	0.706526315789474	3.10517143077015e-08	0.694780638568158	0.27003206291591
RAPGEF2_SE_210090	RAPGEF2	chr4	+	159344035	159344059	159343280	159343404	159345105	159345329	0.396011494252874	0.195052631578947	1.41241409410231e-07	-1.02167884239734	-0.200958862673926
YRDC_SE_214290	YRDC	chr1	-	37804301	37804444	37802941	37803997	37806856	37806976	0.967563218390805	0.852947368421053	1.43403224789527e-10	-0.181899204753537	-0.114615849969752
CLEC7A_SE_214322	CLEC7A	chr12	-	10126570	10126708	10125296	10125448	10127746	10127845	0.666080459770115	0.509736842105263	8.58607894462511e-08	-0.385943829156554	-0.156343617664852
PSMD5_SE_22168	PSMD5	chr9	-	120826764	120826907	120824493	120824685	120831330	120831459	0.649597701149425	0.88878947368421	1.92990731982927e-07	0.45229520336819	0.239191772534785
